first,second
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",4543
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",114
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",82
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",70
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",60
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",53
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",25
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",10
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",8
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",7
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",6
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",6
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",6
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",3
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",3
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",2
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",2
