first,second
"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4283
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",402
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",62
"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",47
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",46
"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",19
"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",17
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",15
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",14
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",14
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",13
"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",13
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",8
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",8
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",7
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",6
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",5
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",4
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",4
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",4
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",2
"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]",1
"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",1
"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",1
