z,x5,St,Sh,lb,ub
0.0,1.0,1.0,0.9996176764163267,0.9981369008925587,0.9999955326422739
0.12244897959183673,1.0,0.9801839947455377,0.9864222114228236,0.977419266188438,0.9932639268852896
0.24489795918367346,1.0,0.9211836956529855,0.9495184788506867,0.9319392145036349,0.9651409942193212
0.36734693877551017,1.0,0.8493919494930159,0.8964442731990359,0.8723055582956323,0.9193542399302125
0.4897959183673469,1.0,0.7777446197006603,0.8346528244610494,0.8039849529811577,0.8638826081289841
0.6122448979591837,1.0,0.7108939404397687,0.7696319773703891,0.7337703490570706,0.8039451151165112
0.7346938775510203,1.0,0.6502015913604337,0.7052287279817255,0.6668726165273731,0.7436418648049676
0.8571428571428571,1.0,0.5957347772155658,0.6441234025176762,0.6053747901664044,0.6867964976162024
0.9795918367346939,1.0,0.5470695005204484,0.5880803846724608,0.5486309442517953,0.6343920332606036
1.1020408163265307,1.0,0.5036243310119927,0.5380652499015433,0.4981589745003564,0.5873106411960296
1.2244897959183674,1.0,0.4648002240538779,0.4943464078075573,0.4542591092692948,0.5454151888050373
1.346938775510204,1.0,0.43003683446559227,0.4566323570408156,0.4166862777814509,0.5092309781375938
1.4693877551020407,1.0,0.3988320266072739,0.4242421141976008,0.3846190329810604,0.476961851306712
1.5918367346938775,1.0,0.3707451884895031,0.396283440445949,0.3568740182972059,0.4488981364284031
1.7142857142857142,1.0,0.34539371155774656,0.3718120678363871,0.33285949565850664,0.42340074793628796
1.836734693877551,1.0,0.32244694545587793,0.3499537697067599,0.31094372283715327,0.40111521413924517
1.9591836734693877,1.0,0.30161959615476075,0.32998205147857623,0.29035118789526065,0.3805865076799237
2.0816326530612246,1.0,0.28266542967870145,0.3113534308536068,0.27076630475712055,0.36165138708022715
2.2040816326530615,1.0,0.26537161751515415,0.2937082382735648,0.25199074008220224,0.344142049005634
2.326530612244898,1.0,0.2495538122980464,0.27684755760451374,0.2339053992816333,0.3275079319512154
2.4489795918367347,1.0,0.2350519305386729,0.26069700932752937,0.21675564515167095,0.31197658817259083
2.571428571428571,1.0,0.22172657358300862,0.24526646135123314,0.20055526050058167,0.2970207132757341
2.693877551020408,1.0,0.20945600428591793,0.23061230670775562,0.1854115303759829,0.282602357894782
2.816326530612245,1.0,0.19813359800217478,0.2168063614628035,0.1714371859348094,0.2690540311328931
2.9387755102040813,1.0,0.18766569387395504,0.20391316508568252,0.15892672411632025,0.2561603706859108
3.0612244897959187,1.0,0.1779697818520919,0.19197574196315842,0.14725657382763593,0.2438750032010817
3.183673469387755,1.0,0.16897297043502746,0.1810087637520697,0.13649830857772902,0.23265657602211798
3.3061224489795915,1.0,0.16061068887404284,0.17099747832626316,0.12679947343723574,0.2224837090947855
3.4285714285714284,1.0,0.15282558526411238,0.1619006217155935,0.11826871767936754,0.21280249941175244
3.5510204081632653,1.0,0.1455665884752564,0.153655666766913,0.11065190060753116,0.20375850105489215
3.673469387755102,1.0,0.13878810736017755,0.14618505963127112,0.10375606367061035,0.19539615294240947
3.795918367346939,1.0,0.13244934522731433,0.13940245221253764,0.09766297908421209,0.187777091446112
3.9183673469387754,1.0,0.12651371133060962,0.13321828584731693,0.09207819758587481,0.18055052600047936
4.040816326530612,1.0,0.12094831422676455,0.12754437781236092,0.08705989287511211,0.1745639939601617
4.163265306122449,1.0,0.11572352440130396,0.12229738980992852,0.0822853377920688,0.16823459287448564
4.285714285714286,1.0,0.11081259566361812,0.11740121457617972,0.07792072829988073,0.1629679920475964
4.408163265306123,1.0,0.10619133653976309,0.11278841126054251,0.07415892853478205,0.15775150086359094
4.530612244897959,1.0,0.10183782431746868,0.10840086506438401,0.07041262864543074,0.1529039873708073
4.653061224489796,1.0,0.09773215557579018,0.10418985576398572,0.06683308999794502,0.14832002010277073
4.775510204081632,1.0,0.09385622800719517,0.10011570599502762,0.06374524682779788,0.14409171951247945
4.8979591836734695,1.0,0.09019354914934707,0.09614715405474117,0.060518396349517396,0.14015444326666482
5.020408163265307,1.0,0.08672906831724314,0.09226056530830476,0.05746011801372209,0.13587411114494236
5.142857142857142,1.0,0.08344902858800629,0.08843906632991756,0.054274485860227234,0.13159150931069807
5.26530612244898,1.0,0.08034083616023413,0.0846716597601161,0.05137555372728223,0.12733481821685735
5.387755102040816,1.0,0.07739294480349845,0.08095235694332886,0.04830670665982704,0.12308760412729855
5.510204081632653,1.0,0.07459475344446875,0.0772793499730296,0.04558162588832598,0.11898543476285997
5.63265306122449,1.0,0.07193651521495181,0.07365423432410656,0.04277988209442026,0.11472777674185466
5.755102040816326,1.0,0.06940925652268837,0.07008128690440253,0.040215798022542895,0.11055821654143103
5.877551020408163,1.0,0.06700470490522625,0.0665668010779112,0.03746030638664114,0.10631065523981283
6.0,1.0,0.06471522459656132,0.06311847899725069,0.034882782434301714,0.10218661362108312
0.0,0.0,1.0,0.999999624484143,0.9999977271818411,0.9999999999999936
0.12244897959183673,0.0,0.9996967136883536,0.9932406428855626,0.9885733073264023,0.9965924857596318
0.24489795918367346,0.0,0.9926247610451162,0.9706010852906158,0.9562283254090845,0.9817764807830709
0.36734693877551017,0.0,0.968501466914526,0.9330892994233236,0.9062513950962352,0.9525887206890061
0.4897959183673469,0.0,0.9262247233453116,0.8829703772412067,0.8446805964798185,0.9101908219153079
0.6122448979591837,0.0,0.8706483588494216,0.822878718454401,0.7763497439716555,0.857763648447946
0.7346938775510203,0.0,0.8075769658164633,0.7561551400137592,0.7049690751364266,0.7982467236466272
0.8571428571428571,0.0,0.7417618676682831,0.6866408475655155,0.6339826604001406,0.7354381947010455
