first,second
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2022
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1056
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",639
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",152
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",137
"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",129
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",127
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",124
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",117
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",97
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",85
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",83
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",63
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",61
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",43
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",42
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",18
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1
