first,second
"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",4506
"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",134
"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",68
"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",58
"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",53
"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",49
"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",45
"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",16
"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",14
"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",13
"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",11
"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",8
"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",7
"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",5
"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",5
"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",5
"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",1
"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",1
